Pos,Jugador,Club,G,MJ,ANOTA CADA,NACIONALIDAD
150º,Bibiana Guadalupe Quintos,Tijuana,1,1153,1153.00 min,Mexicano
151º,Daphne Melissa Herrera,Tijuana,1,1249,1249.00 min,Costarricense
152º,Victoria Sarahí Ceceña,Querétaro,1,383,383.00 min,Mexicano
153º,Alejandra Lomelí,Atlas,1,563,563.00 min,Mexicano
154º,Jaquelín García,Atlas,1,1330,1330.00 min,Mexicano
155º,Vivian Obianujuwan Ikechukwu,Cruz Azul,1,577,577.00 min,Nigeriano
156º,Julissa Fernanda Dávila,Cruz Azul,1,760,760.00 min,Mexicano
157º,Ivonne Gutiérrez,Cruz Azul,1,926,926.00 min,Mexicano
158º,Itzell Alemán,León,1,370,370.00 min,Mexicano
159º,Sanjuana De Jesús Muñoz,León,1,568,568.00 min,Mexicano
160º,Vanessa Guadalupe López,León,1,862,862.00 min,Mexicano
161º,Yanin Madrid,León,1,895,895.00 min,Mexicano
162º,Joana Robles,Atlético de San Luis,1,834,834.00 min,Mexicano
163º,Laura Montserrat Parra,Atlético de San Luis,1,1353,1353.00 min,Mexicano
164º,Farlyn Fernanda Caicedo,Atlético de San Luis,1,1420,1420.00 min,Colombiano
165º,Sinoxolo Cesane,Mazatlán FC,1,1098,1098.00 min,Sudafricano
166º,Gabriela Rocío Álvarez,Mazatlán FC,1,1205,1205.00 min,Mexicano
167º,Brenda Judith García,Mazatlán FC,1,1440,1440.00 min,Mexicano
168º,Joselyn Solís,Puebla,1,94,94.00 min,Mexicano
169º,Vania Itzel Moron,Puebla,1,135,135.00 min,Mexicano
170º,Venicia Gabriela Juárez,Puebla,1,198,198.00 min,Mexicano
171º,Dulce María Méndez,Puebla,1,208,208.00 min,Mexicano
172º,Liliana Fernández,Puebla,1,222,222.00 min,Mexicano
173º,Anna Jane Loftus,Puebla,1,662,662.00 min,Inglés
174º,Luisa Fernanda De Alba,Puebla,1,796,796.00 min,Mexicano
175º,Ahtziri Méndez,Puebla,1,833,833.00 min,Mexicano
176º,Rubí Iridian Villegas,Puebla,1,1305,1305.00 min,Mexicano
177º,María Magalí Del Verdún Cuadrado,Santos Laguna,1,422,422.00 min,Uruguayo
178º,Frida Carolina Cussin,Santos Laguna,1,574,574.00 min,Mexicano
179º,Lia Mariel Romero,Santos Laguna,1,588,588.00 min,Mexicano
180º,Yessenia Esmeralda Novella,Santos Laguna,1,904,904.00 min,Mexicano
181º,Michel Anahy Ruiz,Santos Laguna,1,1037,1037.00 min,Mexicano
182º,Havi Larisa Ibarra,Santos Laguna,1,1409,1409.00 min,Mexicano
183º,Quetzali Jahoumara Barranco,Necaxa,1,581,581.00 min,Mexicano
184º,Athziri Guadalupe Alonso,Necaxa,1,817,817.00 min,Mexicano
