Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Apertura,"Viernes 27 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
27 Septiembre 2024 - 17:00 hrs.",,1 - 1,,Nou Camp,,,,,,
2024-2025,Apertura,"Domingo 29 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
29 Septiembre 2024 - 18:15 hrs.",,1 - 3,,TSM Corona,,,,,,
2024-2025,Apertura,"Domingo 29 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
29 Septiembre 2024 - 19:06 hrs.",,1 - 1,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Domingo 29 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
29 Septiembre 2024 - 20:00 hrs.",,1 - 4,,Caliente,,,,,,
2024-2025,Apertura,"Lunes 30 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
30 Septiembre 2024 - 17:00 hrs.",,0 - 1,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Lunes 30 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
30 Septiembre 2024 - 17:00 hrs.",,2 - 3,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Lunes 30 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
30 Septiembre 2024 - 18:00 hrs.",,1 - 3,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Lunes 30 de Septiembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
30 Septiembre 2024 - 20:00 hrs.",,6 - 1,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Miércoles 2 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
2 Octubre 2024 - 19:06 hrs.",,1 - 0,,Nou Camp,,,,,,
2024-2025,Apertura,"Jueves 3 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
3 Octubre 2024 - 21:00 hrs.",,4 - 1,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Viernes 4 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
4 Octubre 2024 - 17:00 hrs.",,1 - 1,,La Corregidora,,,,,,
2024-2025,Apertura,"Sábado 5 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
5 Octubre 2024 - 17:30 hrs.",,2 - 1,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Sábado 5 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
5 Octubre 2024 - 20:10 hrs.",,2 - 1,,El Encanto,,,,,,
2024-2025,Apertura,"Domingo 6 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
6 Octubre 2024 - 12:00 hrs.",,3 - 0,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Apertura,"Domingo 6 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
6 Octubre 2024 - 18:00 hrs.",,3 - 1,,Jalisco,,,,,,
2024-2025,Apertura,"Domingo 6 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
6 Octubre 2024 - 20:06 hrs.",,0 - 1,,Universitario,,,,,,
2024-2025,Apertura,"Lunes 7 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
7 Octubre 2024 - 17:00 hrs.",,2 - 2,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Lunes 7 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
7 Octubre 2024 - 19:06 hrs.",,0 - 0,,Hidalgo,,,,,,
2024-2025,Apertura,"Jueves 10 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 12
10 Octubre 2024 - 20:10 hrs.",,1 - 3,,El Encanto,,,,,,
2024-2025,Apertura,"Viernes 11 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
11 Octubre 2024 - 19:06 hrs.",,5 - 3,,Universitario,,,,,,
2024-2025,Apertura,"Viernes 11 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
11 Octubre 2024 - 21:00 hrs.",,1 - 5,,Jalisco,,,,,,
2024-2025,Apertura,"Sábado 12 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
12 Octubre 2024 - 12:00 hrs.",,3 - 1,,Instalaciones Metepec Cancha 2,,,,,,
2024-2025,Apertura,"Sábado 12 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
12 Octubre 2024 - 17:00 hrs.",,5 - 0,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Domingo 13 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
13 Octubre 2024 - 12:00 hrs.",,2 - 0,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Domingo 13 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
13 Octubre 2024 - 12:00 hrs.",,1 - 2,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Domingo 13 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
13 Octubre 2024 - 18:06 hrs.",,6 - 1,,Caliente,,,,,,
2024-2025,Apertura,"Lunes 14 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
14 Octubre 2024 - 19:00 hrs.",,0 - 0,,TSM Corona,,,,,,
