Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Clausura,"Sábado 29 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
29 Marzo 2025 - 17:00 hrs.",,- - -,,Nou Camp,,,,,,
2024-2025,Clausura,"Domingo 30 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
30 Marzo 2025 - 12:00 hrs.",,- - -,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Domingo 30 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
30 Marzo 2025 - 17:00 hrs.",,- - -,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Clausura,"Domingo 30 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
30 Marzo 2025 - 17:00 hrs.",,- - -,,Estadio AKRON,,,,,,
2024-2025,Clausura,"Domingo 30 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 15
30 Marzo 2025 - 21:06 hrs.",,- - -,,Universitario,,,,,,
2024-2025,Clausura,"Sábado 12 de Abril de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 16
12 Abril 2025 - 16:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Domingo 13 de Abril de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 16
13 Abril 2025 - 12:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Domingo 13 de Abril de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 16
13 Abril 2025 - 12:00 hrs.",,- - -,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Domingo 13 de Abril de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 16
13 Abril 2025 - 17:00 hrs.",,- - -,,Jalisco,,,,,,
2024-2025,Clausura,"Domingo 13 de Abril de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 16
13 Abril 2025 - 17:00 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
